"title","year","authors","affiliations","journal","citations","keywords","affiliation_missing","source","doi"
"Role of Ethnicity and Age in Corneal Curvature and Thickness Changes Following Corneal Cross-Linking for Keratoconus","2026","Alenezi B.M.; Khoyratty F.; Biswas S.; Alshammari Y.S.; Aldakhil S.; Alrasheed S.H.; Radhakrishnan H.","Department of Optometry, College of Applied Medical Sciences, Qassim University, Buraydah, Saudi Arabia; Department of Ophthalmology, Imperial College NHS Trust, London, United Kingdom; Manchester Royal Eye Hospital, Manchester University NHS Trust and Manchester Academic Health Sciences Centre, Faculty of Biology, Medicine and Health, The University of Manchester, Manchester, United Kingdom; Dhahran Eye Specialist Hospital, Dhahran, Saudi Arabia; Department of Ophthalmology, Dr. Sulaiman Al Habib Hospital, Khobar, Saudi Arabia; Division of Pharmacy and Optometry, Faculty of Biology, Medicine and Health, The University of Manchester, Manchester, United Kingdom","Translational Vision Science and Technology","0","age; corneal cross-linking; corneal curvature and thickness; ethnicity; keratoconus","False","Scopus","10.1167/tvst.15.3.12"
"Stromal graft rejection after deep anterior lamellar keratoplasty at a tertiary care center","2026","Almousa K.S.; Alkharashi M.S.","Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, Saudi Arabia; Ophthalmology Division, King Fahad Medical City, Riyadh, Saudi Arabia","Saudi Journal of Ophthalmology","0","Graft rejection; lamellar keratoplasty; stromal edema; subepithelial infiltrates","False","Scopus","10.4103/sjopt.sjopt_210_24"
"Interpretable Machine Learning Models for Vitamin A Deficiency Screening in School-Aged Children","2025","Ramesh J.; Sabu Thomas S.; Khamis A.H.; Sagahyroon A.; Aloul F.; Rushood A.","American University of Sharjah, Department of Computer Science and Engineering, Sharjah, United Arab Emirates; Mohammed Bin Rashid University of Medicine and Health Sciences, Hamdan Bin Mohammed College of Dental Medicine, Dubai, United Arab Emirates; Kahhal Medical Centre, Al Basar International Foundation, Dammam, 32421, Saudi Arabia","IEEE Access","0","deep learning; Electronic health records; machine learning; ophthalmology; vitamin a deficiency","False","Scopus","10.1109/ACCESS.2025.3644236"
"Rational Design, Green Synthesis, and Biological Evaluation of Novel Imidazole Derivatives as Potent EGFR Inhibitors via One-Pot Four-Component Reaction","2025","Alsirhani A.M.; Aali I.; Hussein M.F.; Elkanzi N.A.A.; Ali A.M.; Aboelez M.O.","Department of Chemistry, College of Science, Jouf University, Aljouf, Sakaka, Saudi Arabia; Chemistry Department, Faculty of Science, Sohag University, Sohag, Egypt; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Sohag University, Sohag, Egypt","Archiv der Pharmazie","6","EGFR<sup>T790M</sup>; EGFR<sup>WT</sup>; imidazoles; in silico study; microwave irradiation; rational design; Swiss ADME prediction","False","Scopus","10.1002/ardp.70044"
"The antidiabetic, haematological, and antioxidant implications of Schimpera arabica natural plant on Streptozotocin-diabetic rats","2025","Elsharkawy E.R.; Alqahtani A.; Uddin M.N.; Khan F.; He Y.; Li X.; Gouda M.M.","Center for Health Research, Northern Border University, Arar, 73213, Saudi Arabia; Department of Chemistry, College of Science, Northern Border University, Arar, 73213, Saudi Arabia; Department of Pharmacology, College of Pharmacy, King Khalid University, Guraiger, 62529, Saudi Arabia; Institute of Food Science and Technology, Bangladesh Council of Scientific and Industrial Research (BCSIR), Dhaka, 1205, Bangladesh; Department of Chemistry, University of Massachusetts Boston, Boston, 02125, MA, United States; College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, 310058, China; Department of Nutrition & Food Science, National Research Centre, Giza, 12622, Egypt","Journal of Agriculture and Food Research","3","Diabetes mellitus; Phenolic compounds; Red blood cells; Schimpera arabica; White blood cells","False","Scopus","10.1016/j.jafr.2025.101891"
"Posterior chamber phakic intraocular lens adjustment-causes and complications: a retrospective cohort study","2025","Alarfaj G.; Helayel H.B.; AlSubaie M.; Hariri J.; Alzaher F.; Khan O.; Al-Jindan M.; AlHabash A.; Sulaimani N.M.","Department of Ophthalmology, Dhahran-Eye-Specialist-Hospital, Al Jamiah, Dhahran, 34257, Saudi Arabia; King Khaled Eye Specialist Hospital, Riyadh, 11462, Saudi Arabia; Department of Ophthalmology, MOH, Madinah, 42354, Saudi Arabia; Department of Ophthalmology, College of Medicine, Imam Abdulrahman Bin Faisal University, Dammam, 31422, Saudi Arabia","International Journal of Ophthalmology","2","complications; hyperopic correction; lens-based surgery; myopic correction; refractive error correction","False","Scopus","10.18240/ijo.2025.05.14"
"Visual Outcomes in Patients with Mixed Astigmatism after Photorefractive Keratectomies with Different Ablation Zones: A Single-center Study from Saudi Arabia","2025","AlRubaish M.A.M.","Department of Ophthalmology, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia","Saudi Journal of Medicine and Medical Sciences","0","Corrected visual acuity; mixed astigmatism; optical zone; photorefractive keratectomy; Saudi Arabia; uncorrected visual acuity","False","Scopus","10.4103/sjmms.sjmms_724_24"
"Corneal Epithelial Thickness Mapping in Healthy Population Corneas Using MS-39 Anterior Segment Optical Coherence Tomography","2025","Alturki H.S.; Alsubhi S.S.; Alhazmi A.; Alhadlag A.; Albalawi N.S.; Alzoman M.A.; Aljasir M.; Alsubaie M.; Aljindan M.; Alsomali A.","Ophthalmology Department, Dhahran Eye Specialist Hospital, Dhahran, Saudi Arabia; Surgery Department, College of Medicine, Shaqra University, Riyadh, Saudi Arabia; Ophthalmology Department, King Salman Armed Forces Hospital, Tabuk, Saudi Arabia; Ophthalmology Department, College of Medicine, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia; Ophthalmology Department, College of Medicine, King Faisal University, Alahsa, Saudi Arabia","Clinical Ophthalmology","8","anterior segment; corneal epithelial thickness; optical coherence tomography; Saudi Arabia","False","Scopus","10.2147/OPTH.S503195"
"Dysregulation and gene polymorphisms of Vitamin D receptor: its implications in lipid metabolic disorders","2025","Sekar A.K.; Josephine A.; Tamilselvan J.; Sureka V.; Rajendran P.; Moovendhan M.","Centre for Biotechnology, Anna University, Tamil Nadu, Chennai, 600 025, India; Department of Research, Meenakshi Academy of Higher Education and Research, Tamil Nadu, Chennai, 600 078, India; Department of Biological Sciences, College of Science, King Faisal University, Al-Ahsa, 31982, Saudi Arabia; Department of Biochemistry, Centre of Molecular Medicine and Diagnostics (COMManD), Saveetha Dental College & Hospital, Saveetha University, Tamil Nadu, Chennai, 600 077, India; Centre for Global Health Research, Saveetha Medical College and Hospital, Saveetha Institute of Medical and Technical Sciences (SIMATS), Tamil Nadu, Chennai, 602 105, India","Molecular Biology Reports","6","Atherosclerosis; Dyslipidemia; Dysregulation; Fatty liver; Obesity; VDR gene polymorphisms; Vitamin D receptor (VDR)","False","Scopus","10.1007/s11033-025-10725-7"
"Factors Associated with Willingness for Corneal Donation in the Western Region of Saudi Arabia","2025","Showail M.; Aljuhani R.","Department of Ophthalmology, King Abdulaziz University Hospital, Jeddah, Saudi Arabia; Faculty of Medicine, King Abdulaziz University, Jeddah, Saudi Arabia","Clinical Ophthalmology","0","awareness; corneal donation; corneal transplant; willingness","False","Scopus","10.2147/OPTH.S547289"
